Lead_ID,Lead_Date,Company_Name,Region,City,Equipment_Type,Lead_Source,Sales_Rep,Current_Stage,Quotation_Date,Negotiation_Date,Closing_Date,Deal_Value_IDR,Lost_At_Stage,Lost_Reason,Stage_Order,Reached_Lead,Reached_Quotation,Reached_Negotiation,Reached_Closed_Won
LD-0051,2022-10-29,PT Mitra Konstruksi 052,Jawa,Gresik,Skylift,Email,Sari Rahmawati,Closed Won,2022-10-30,2022-11-04,2022-11-08,25900000.0,,,4,1,1,1,1
LD-0014,2022-08-12,PT Mitra Konstruksi 015,jawa,Semarang,Scissor Lift,EMAIL,Sari Rahmawati,closed won,2022-08-13,2022-08-17,2022-08-22,9300000.0,,,4,1,1,1,1
LD-0137,2023-02-27,PT Mitra Konstruksi 138,Jawa,Jakarta,Crane,Website,Andi Pratama,Lead In,,,,,,,1,1,0,0,0
LD-0402,20/02/2024,PT Mitra Konstruksi 403,Jawa,Bandung,Scissor Lift,Website,Budi Santoso,Closed Lost,2024-02-23,,,,Quotation Sent,Price too high,5,1,1,0,0
LD-0842,2025-11-05,PT Mitra Konstruksi 843,Sumatra,Medan,Crane,WhatsApp,Rina Wulandari,Closed Won,2025-11-11,2025-11-20,2025-11-28,30500000.0,,,4,1,1,1,1
LD-0779,2025-07-11,PT Mitra Konstruksi 780,Jawa,Surabaya,Scissor Lift,WhatsApp,Dewi Lestari,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0281,2023-09-19,PT Mitra Konstruksi 282,Jawa,Gresik,Scissor Lift,Google Ads,Dewi Lestari,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0072,2022-11-28, PT Mitra Konstruksi 073 ,Jawa,Sidoarjo   , Crane ,WhatsApp,  Andi Pratama,Lead In,,,,,,,1,1,0,0,0
LD-0107,10/01/2023,PT Mitra Konstruksi 108,Sumatra,Palembang,Scissor Lift,Website,Rina Wulandari,Closed Lost,2023-01-16,,,,Quotation Sent,Price too high,5,1,1,0,0
LD-0817,2025-09-21,PT Mitra Konstruksi 818,Jawa,Gresik,ScissorLift,E-mail,Rina W.,Closed Won,2025-09-27,2025-10-01,2025-10-12,6700000.0,,,4,1,1,1,1
LD-0449,2024-05-22,PT Mitra Konstruksi 450,Jawa,Sidoarjo,Boom Lift,WhatsApp,Rina Wulandari,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0891,2026-01-24,PT Mitra Konstruksi 892,Jawa,Sidoarjo,Skylift,WhatsApp,Vino Jayrasta,Lead In,,,,,,,1,1,0,0,0
LD-0248,2023-08-28,PT Mitra Konstruksi 249,Jawa,Semarang,Crane,Whats App,Fajar Nugroho,Closed Won,01.09.2023,2023-09-08,2023-09-13,26900000.0,,,4,1,1,1,1
LD-0623,2024-12-15,PT Mitra Konstruksi 624,Jawa,Semarang,Scissor Lift,Email,Eko Kurniawan,Closed Lost,2024-12-18,,,,Quotation Sent,Price too high,5,1,1,0,0
LD-0335,2023-11-18,PT Mitra Konstruksi 336,Jawa,Gresik,Crane,WhatsApp,Dewi Lestari,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0857,2025-11-09,PT Mitra Konstruksi 858,Bali,Denpasar,Scissor Lift,web site,Sari Rahmawati,Closed Lost,2025-11-11,2025-11-15,,,Negotiation,Price too high,5,1,1,1,0
LD-0747,05/06/2025,PT Mitra Konstruksi 748,Jawa,Sidoarjo,Scissor Lift,Email,Rina Wulandari,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0387,2024-02-11,PT Mitra Konstruksi 388,Bali,Denpasar,Scissor Lift,WhatsApp,Budi Santoso,Lead In,,,,,,,1,1,0,0,0
LD-0120,2023-01-04,PT Mitra Konstruksi 121,bali,Denpasar,BOOM LIFT,WHATSAPP,Eko Kurniawan,Closed Won,2023-01-05,2023-01-10,2023-01-21,12700000.0,,,4,1,1,1,1
LD-0952,2026-04-12,PT Mitra Konstruksi 953,Jawa,,Boom Lift,,Dewi Lestari,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0409,2024-03-18,PT Mitra Konstruksi 410,SUMATRA,Batam,Boom Lift,WHATSAPP,Andi Pratama,closed lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0993,10/06/2026,PT Mitra Konstruksi 994,Bali,Denpasar,Skylift,WhatsApp,Budi Santoso,Closed Lost,2026-06-11,,,,Quotation Sent,Chose competitor,5,1,1,0,0
LD-0394,2024-02-11,PT Mitra Konstruksi 395,Jawa,Bandung,Carmix,Website,Rina Wulandari,Lead In,,,,,,,1,1,0,0,0
LD-0563,11-Oct-2024,PT Mitra Konstruksi 564,Bali,Badung,Skylift,Google Ads,Eko Kurniawan,Lead In,,,,,,,1,1,0,0,0
